Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2010-01-04,5232.2001953125,0.0,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2010-01-05,5277.89990234375,0.008734319277804437,,,0,0.0,0.0,0.0,0.0,1.0087343192778044,1.0
2010-01-06,5281.7998046875,0.0007389117671630085,,,0,0.0,0.0,0.0,0.0,1.00947968493626,1.0
2010-01-07,5263.10009765625,-0.0035404043550939512,,,0,0.0,0.0,0.0,-0.0,1.0059057186633327,1.0
2010-01-08,5244.75,-0.003486556842120736,,,0,0.0,0.0,0.0,-0.0,1.0023985711973986,1.0
2010-01-11,5249.39990234375,0.0008865822667905032,,,0,0.0,0.0,0.0,0.0,1.0032872799948784,1.0
2010-01-12,5210.39990234375,-0.007429420643412454,,,0,0.0,0.0,0.0,-0.0,0.9958334367656113,1.0
2010-01-13,5233.9501953125,0.0045198628531673,,,0,0.0,0.0,0.0,0.0,1.0003344673243901,1.0
2010-01-14,5259.89990234375,0.004957958341768487,,,0,0.0,0.0,0.0,0.0,1.0052940839412197,1.0
2010-01-15,5252.2001953125,-0.0014638504865499558,,,0,0.0,0.0,0.0,-0.0,1.0038224837073164,1.0
2010-01-18,5274.85009765625,0.004312459826638859,,,0,0.0,0.0,0.0,0.0,1.008151427841381,1.0
2010-01-19,5225.64990234375,-0.009327316303142097,,,0,0.0,0.0,0.0,-0.0,0.9987480805924401,1.0
2010-01-20,5221.7001953125,-0.0007558307780011209,,,0,0.0,0.0,0.0,-0.0,0.9979931960536588,1.0
2010-01-21,5094.14990234375,-0.024426965968527115,,,0,0.0,0.0,0.0,-0.0,0.9736152502168345,1.0
2010-01-22,5036.0,-0.011415035571881393,,,0,0.0,0.0,0.0,-0.0,0.9625013975022831,1.0
2010-01-25,5007.89990234375,-0.005579844649771681,,,0,0.0,0.0,0.0,-0.0,0.9571307892290323,1.0
2010-01-27,4853.10009765625,-0.030911121968522637,,,0,0.0,0.0,0.0,-0.0,0.9275448026633454,1.0
2010-01-28,4867.25,0.0029156419729696736,,,0,0.0,0.0,0.0,0.0,0.9302491912218005,1.0
2010-01-29,4882.0498046875,0.0030406912912834816,,,0,0.0,0.0,0.0,0.0,0.9330777918362722,1.0
2010-02-01,4899.7001953125,0.0036153647199692607,5143.397509765625,,0,0.0,0.0,0.0,0.0,0.9364512083658638,1.0
2010-02-02,4830.10009765625,-0.014204970688377228,5123.292504882813,,0,0.0,0.0,0.0,-0.0,0.9231489463999313,1.0
2010-02-03,4931.85009765625,0.02106581601680957,5105.990014648438,,0,0.0,0.0,0.0,0.0,0.9425958322609038,1.0
2010-02-04,4845.35009765625,-0.017539057004410386,5084.167529296875,,0,0.0,0.0,0.0,-0.0,0.9260635902267602,1.0
2010-02-05,4718.64990234375,-0.026148821603992345,5056.94501953125,,0,0.0,0.0,0.0,-0.0,0.901848118611968,1.0
2010-02-08,4760.39990234375,0.008847869806840825,5032.727514648437,,0,0.0,0.0,0.0,0.0,0.9098275533509911,1.0
2010-02-09,4792.64990234375,0.006774640925465425,5009.8900146484375,,0,0.0,0.0,0.0,0.0,0.9159913083290387,1.0
