Date,Close,Daily Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Buy Hold Growth
2010-01-04,5232.2001953125,0.0,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2010-01-05,5277.89990234375,0.008734319277804437,,,0,0.0,0.0,0.0,0.0,1.0,1.0087343192778044
2010-01-06,5281.7998046875,0.0007389117671630085,,,0,0.0,0.0,0.0,0.0,1.0,1.00947968493626
2010-01-07,5263.10009765625,-0.0035404043550939512,,,0,0.0,0.0,0.0,-0.0,1.0,1.0059057186633327
2010-01-08,5244.75,-0.003486556842120736,5259.95,,0,0.0,0.0,0.0,-0.0,1.0,1.0023985711973986
2010-01-11,5249.39990234375,0.0008865822667905032,5263.38994140625,,0,0.0,0.0,0.0,0.0,1.0,1.0032872799948784
2010-01-12,5210.39990234375,-0.007429420643412454,5249.88994140625,,0,0.0,0.0,0.0,-0.0,1.0,0.9958334367656113
2010-01-13,5233.9501953125,0.0045198628531673,5240.32001953125,,0,0.0,0.0,0.0,0.0,1.0,1.0003344673243901
2010-01-14,5259.89990234375,0.004957958341768487,5239.67998046875,,0,0.0,0.0,0.0,0.0,1.0,1.0052940839412197
2010-01-15,5252.2001953125,-0.0014638504865499558,5241.17001953125,,0,0.0,0.0,0.0,-0.0,1.0,1.0038224837073164
2010-01-18,5274.85009765625,0.004312459826638859,5246.26005859375,,0,0.0,0.0,0.0,0.0,1.0,1.008151427841381
2010-01-19,5225.64990234375,-0.009327316303142097,5249.31005859375,,0,0.0,0.0,0.0,-0.0,1.0,0.9987480805924401
2010-01-20,5221.7001953125,-0.0007558307780011209,5246.86005859375,,0,0.0,0.0,0.0,-0.0,1.0,0.9979931960536588
2010-01-21,5094.14990234375,-0.024426965968527115,5213.71005859375,,0,0.0,0.0,0.0,-0.0,1.0,0.9736152502168345
2010-01-22,5036.0,-0.011415035571881393,5170.47001953125,,0,0.0,0.0,0.0,-0.0,1.0,0.9625013975022831
2010-01-25,5007.89990234375,-0.005579844649771681,5117.07998046875,,0,0.0,0.0,0.0,-0.0,1.0,0.9571307892290323
2010-01-27,4853.10009765625,-0.030911121968522637,5042.57001953125,,0,0.0,0.0,0.0,-0.0,1.0,0.9275448026633454
2010-01-28,4867.25,0.0029156419729696736,4971.67998046875,,0,0.0,0.0,0.0,0.0,1.0,0.9302491912218005
2010-01-29,4882.0498046875,0.0030406912912834816,4929.2599609375,,0,0.0,0.0,0.0,0.0,1.0,0.9330777918362722
2010-02-01,4899.7001953125,0.0036153647199692607,4902.0,,0,0.0,0.0,0.0,0.0,1.0,0.9364512083658638
2010-02-02,4830.10009765625,-0.014204970688377228,4866.4400390625,,0,0.0,0.0,0.0,-0.0,1.0,0.9231489463999313
2010-02-03,4931.85009765625,0.02106581601680957,4882.1900390625,,0,0.0,0.0,0.0,0.0,1.0,0.9425958322609038
2010-02-04,4845.35009765625,-0.017539057004410386,4877.81005859375,,0,0.0,0.0,0.0,-0.0,1.0,0.9260635902267602
2010-02-05,4718.64990234375,-0.026148821603992345,4845.130078125,,0,0.0,0.0,0.0,-0.0,1.0,0.901848118611968
2010-02-08,4760.39990234375,0.008847869806840825,4817.27001953125,,0,0.0,0.0,0.0,0.0,1.0,0.9098275533509911
2010-02-09,4792.64990234375,0.006774640925465425,4809.77998046875,,0,0.0,0.0,0.0,0.0,1.0,0.9159913083290387
2010-02-10,4757.2001953125,-0.0073966819512341075,4774.85,,0,0.0,0.0,0.0,-0.0,1.0,0.909216011951234
2010-02-11,4826.85009765625,0.014640944144494794,4771.15,,0,0.0,0.0,0.0,0.0,1.0,0.9225277927974923
2010-02-15,4801.9501953125,-0.005158623499793458,4787.81005859375,,0,0.0,0.0,0.0,-0.0,1.0,0.9177688192463546
2010-02-16,4855.75,0.011203740667701467,4806.880078125,,0,0.0,0.0,0.0,0.0,1.0,0.9280512630900933
