Date,Close,Signal,Position,Position Change,Trading Cost,Strategy Return,Growth,Drawdown,Strategy
2010-01-04,5232.2001953125,1.0,0.0,1.0,0.0005,-0.0005,0.9995,0.0,Buy and Hold
2010-01-04,5232.2001953125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63-Day Momentum
2010-01-04,5232.2001953125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55/20 Breakout
2010-01-04,5232.2001953125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MA 5/50
2010-01-04,5232.2001953125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RSI Mean Reversion
2010-01-05,5277.89990234375,1.0,1.0,1.0,0.0005,0.008234319277804436,1.0077302021181656,0.0,Buy and Hold
2010-01-05,5277.89990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55/20 Breakout
2010-01-05,5277.89990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63-Day Momentum
2010-01-05,5277.89990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MA 5/50
2010-01-05,5277.89990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RSI Mean Reversion
2010-01-06,5281.7998046875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55/20 Breakout
2010-01-06,5281.7998046875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MA 5/50
2010-01-06,5281.7998046875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63-Day Momentum
2010-01-06,5281.7998046875,1.0,1.0,0.0,0.0,0.0007389117671630085,1.0084748258226361,0.0,Buy and Hold
2010-01-06,5281.7998046875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RSI Mean Reversion
2010-01-07,5263.10009765625,1.0,1.0,0.0,0.0,-0.0035404043550939512,1.0049044171572912,-0.00354040435509384,Buy and Hold
2010-01-07,5263.10009765625,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,55/20 Breakout
2010-01-07,5263.10009765625,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,63-Day Momentum
2010-01-07,5263.10009765625,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,RSI Mean Reversion
2010-01-07,5263.10009765625,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,MA 5/50
2010-01-08,5244.75,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,MA 5/50
2010-01-08,5244.75,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,55/20 Breakout
2010-01-08,5244.75,1.0,1.0,0.0,0.0,-0.003486556842120736,1.001400760785974,-0.007014617376186472,Buy and Hold
2010-01-08,5244.75,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,RSI Mean Reversion
2010-01-08,5244.75,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,63-Day Momentum
2010-01-11,5249.39990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63-Day Momentum
2010-01-11,5249.39990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55/20 Breakout
2010-01-11,5249.39990234375,1.0,1.0,0.0,0.0,0.0008865822667905032,1.0022885849424374,-0.006134254144769979,Buy and Hold
2010-01-11,5249.39990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RSI Mean Reversion
2010-01-11,5249.39990234375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MA 5/50
2010-01-12,5210.39990234375,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,MA 5/50
