Fast MA,Slow MA,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Completed Trades,Position Changes,Market Exposure,Cumulative Cost Drag,Final Portfolio Value
5,50,0.0690648103205791,0.10524812958474106,0.703602077307744,-0.2176551208924674,59,119,0.6308296514482081,0.0595,3.0267643320177737
10,50,0.07038870788760354,0.10786134325356007,0.7009321375407018,-0.2465394495301092,46,93,0.6362297496318114,0.0465,3.0895256064884076
20,30,0.0692631901690659,0.10749622791080557,0.6929011241225813,-0.1683149159377989,72,145,0.6151202749140894,0.07250000000000001,3.0360918803386863
20,50,0.06945733729062065,0.11077934455486732,0.6772789249451543,-0.28947134102319183,37,75,0.6450662739322534,0.037500000000000006,3.0452465591938545
15,50,0.06681378313416597,0.11014120444277639,0.6575143311653173,-0.2950717867538142,39,79,0.6438389788905253,0.0395,2.9227933488725646
50,100,0.06659293161557933,0.110980662347672,0.6515394663367462,-0.20664767339024903,19,39,0.6357388316151202,0.0195,2.91277544524699
10,150,0.06440875599473928,0.10941933034475028,0.6399707013545317,-0.21698462690730425,24,48,0.6661757486499754,0.024,2.81542286019954
10,100,0.06415880412073949,0.1094570343597797,0.6376089140812526,-0.33999630363669064,32,65,0.6590574374079529,0.0325,2.80447915202714
5,100,0.06318011308354166,0.10887790920203967,0.6317376314070126,-0.2503343159750401,42,85,0.6602847324496809,0.042499999999999996,2.7620123623478343
10,30,0.06066300088484078,0.1068608460617103,0.6188688640552544,-0.28259325755491793,77,155,0.6119293078055965,0.07750000000000001,2.655550095987145
15,100,0.05870336347335603,0.11013317523912275,0.5865061733704764,-0.2864788576925946,23,47,0.6553755522827688,0.0235,2.5753491523009377
20,100,0.05792912009558959,0.10949345575276102,0.5824379986711653,-0.25388392461563614,23,47,0.6504663721158567,0.0235,2.544293992052224
30,100,0.05591574929658605,0.10954863417103762,0.5643619984074768,-0.2634115861361851,23,47,0.6359842906234658,0.0235,2.4651762613814676
40,100,0.05340955466275732,0.10919237376897117,0.5435172789564616,-0.23542551513984622,20,41,0.6350024545900834,0.0205,2.369921251081147
5,150,0.05171517970120698,0.10987924372405071,0.5257281871454655,-0.252841570079563,30,61,0.6691212567501227,0.0305,2.307493282223835
5,30,0.04726272574347501,0.10395315597922421,0.5077817881399557,-0.24244382848751578,101,203,0.6077565046637211,0.1015,2.1507307133766336
15,150,0.0496957005555434,0.11010113143608939,0.5069954734424814,-0.28208011045033876,19,38,0.6637211585665194,0.019000000000000003,2.23510579147374
15,30,0.04683557306838804,0.10803474765674596,0.48870281103759505,-0.3297399187512352,69,139,0.6143838978890526,0.0695,2.136229603987962
30,50,0.048080616152483824,0.11247469491253294,0.4846242075365133,-0.3405473372326374,38,77,0.6411389297987237,0.0385,2.1787551928529507
40,50,0.045985388785890535,0.11255121623076092,0.46612541515817807,-0.33804018713470807,45,91,0.634020618556701,0.045500000000000006,2.107640281825161
30,150,0.04433861429309793,0.11315215004366995,0.45008677146951115,-0.321170585840575,15,30,0.6462935689739814,0.015,2.0532835889768917
10,20,0.04009385796394915,0.1054777254618342,0.4351272448706133,-0.19312531615903694,115,231,0.5905743740795287,0.11550000000000002,1.919183775854098
15,20,0.039937944826198724,0.10702756882000618,0.4289688553930863,-0.27724865535575005,128,257,0.5886107020127639,0.1285,1.9144185123758293
20,150,0.04010413331332452,0.1109341315847571,0.4191466695616064,-0.36243925904599705,20,40,0.6575846833578792,0.020000000000000004,1.9194982184756606
15,200,0.0392337300933141,0.11517353254696036,0.40045788688015577,-0.29314206632200823,23,46,0.6907216494845361,0.023,1.8930333781798045
5,200,0.03795539882383081,0.11269667868449894,0.3955112723722873,-0.26487083231494435,38,76,0.6953853706431026,0.038,1.854786289398626
10,200,0.03797614830385432,0.11312864948580019,0.39461250743274373,-0.3187431432191772,24,48,0.6936671575846833,0.024,1.8554012643097533
40,150,0.03606180764346001,0.11526217884334594,0.3732009122468812,-0.3837523788302787,14,28,0.6448208149239077,0.014000000000000002,1.7994632095509573
5,20,0.03134204323637557,0.10389751895537414,0.35673124791437766,-0.2918416645990006,135,271,0.5932744231713304,0.1355,1.6682437989143963
50,150,0.033609650926013535,0.11651555872629155,0.34959419174852197,-0.42851846324333664,13,26,0.645311732940599,0.013000000000000001,1.7301234495935276
30,200,0.03265074103433108,0.11680188075739843,0.34081119083075945,-0.3440935982754485,16,32,0.6772214040255278,0.016,1.7036975846666442
50,200,0.03244567463770709,0.11942590648533766,0.33427812995610123,-0.4203741756534656,12,24,0.6698576337751595,0.012,1.6980957659137237
20,200,0.029912096304431035,0.11505589321341023,0.32044688581446285,-0.30890079956753536,20,40,0.685812469317624,0.02,1.6302984378958287
40,200,0.029696136438781107,0.11855821381516753,0.3127878646301055,-0.3889559752785452,13,26,0.6705940108001963,0.013000000000000001,1.624638678812677
