Strategy,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Completed Trades,Position Changes,Market Exposure,Cumulative Cost Drag,Positive Invested Days,Final Portfolio Value
63-Day Momentum,0.07532800285175267,0.10756357361794545,0.7464727020987809,0.6131957849083847,-0.17945993817554728,0.41974829378391404,87,175,0.6482572410407462,0.0875,0.5388110564180235,3.3346386665548127
MA 5/50,0.0690648103205791,0.10524812958474106,0.703602077307744,0.5658791851323075,-0.2176551208924674,0.317313050285183,59,119,0.6308296514482081,0.0595,0.5369649805447471,3.0267643320177737
Buy and Hold,0.09787121207119975,0.16484715907242886,0.6637491262049775,0.637416293409949,-0.38439852452742096,0.25460870899939714,0,2,0.9997545409916544,0.001,0.5315492266142893,4.701681421471082
55/20 Breakout,0.02672641155850708,0.08483434581884605,0.36139283282164164,0.24088689536317517,-0.21179962667247132,0.12618724583418187,51,103,0.44722631320569467,0.051500000000000004,0.5329308452250274,1.5486586824251354
RSI Mean Reversion,0.019549579654571048,0.09727968226782109,0.25330378672138376,0.09118725702153917,-0.3267231577062113,0.05983530457963431,22,44,0.13500245459008345,0.022,0.5363636363636364,1.3785960531087982
