Date,Close,Daily Return,MA 20,MA 50,Rolling Volatility 20D,Drawdown
2025-08-05,24649.55078125,,,,,0.0
2025-08-06,24574.19921875,-0.003056914228121266,,,,-0.003056914228121266
2025-08-07,24596.150390625,0.0008932609229541644,,,,-0.0021663839271919283
2025-08-08,24363.30078125,-0.009466912735407229,,,,-0.011612787695009064
2025-08-11,24585.05078125,0.009101804471857822,,,,-0.002616680546124295
2025-08-12,24487.400390625,-0.003971941790719136,,,,-0.006578229034029381
2025-08-13,24619.349609375,0.005388453516712133,,,,-0.001225221998689463
2025-08-14,24631.30078125,0.00048543816407109475,,,,-0.000740378604135894
2025-08-18,24876.94921875,0.009973019276634965,,,,0.0
2025-08-19,24980.650390625,0.004168564680625764,,,,0.0
2025-08-20,25050.55078125,0.0027981813736617234,,,,0.0
2025-08-21,25083.75,0.0013252889742787488,,,,0.0
2025-08-22,24870.099609375,-0.008517482060098724,,,,-0.008517482060098724
2025-08-25,24967.75,0.003926417350905487,,,,-0.0046245078985398536
2025-08-26,24712.05078125,-0.010241179872034878,,,,-0.01481832735336619
2025-08-28,24500.900390625,-0.008544430103923584,,,,-0.02323614329496193
2025-08-29,24426.849609375,-0.0030223697933294824,,,,-0.026188284870683254
2025-09-01,24625.05078125,0.008114070174605414,,,,-0.01828670827727119
2025-09-02,24579.599609375,-0.0018457290617897026,,,,-0.020098685030149
2025-09-03,24715.05078125,0.0055107151470170646,24694.777734375,,,-0.014698728011162565
2025-09-04,24734.30078125,0.0007788776228048189,24699.015234375,,0.006192381460010499,-0.013931298898689382
2025-09-05,24741.0,0.00027084730671167456,24707.3552734375,,0.0061450772493612795,-0.013664224846763329
2025-09-08,24773.150390625,0.0012994782193525012,24716.2052734375,,0.006147616423216837,-0.012382502989983557
2025-09-09,24868.599609375,0.003852930178235292,24741.47021484375,,0.005732598235873297,-0.008577281731200426
2025-09-10,24973.099609375,0.0042020862308871365,24760.87265625,,0.005468674765407229,-0.004411237977774429
2025-09-11,25005.5,0.0012974116602184615,24786.77763671875,,0.005352495981673547,-0.0031195495091443926
2025-09-12,25114.0,0.004339045410009845,24811.51015625,,0.005312838363978535,0.0
2025-09-15,25069.19921875,-0.0017838966811339896,24833.405078125,,0.005348710802087835,-0.0017838966811339896
2025-09-16,25239.099609375,0.006777256391098607,24851.51259765625,,0.005105445435663795,0.0
2025-09-17,25330.25,0.003611475529465391,24868.992578125,,0.00508721542775459,0.0
2025-09-18,25423.599609375,0.0036853015416349333,24887.64501953125,,0.005110219631233436,0.0
2025-09-19,25327.05078125,-0.0037976065391384095,24899.81005859375,,0.005207426956950843,-0.0037976065391384095
2025-09-22,25202.349609375,-0.004923635718664832,24916.42255859375,,0.00493491778707744,-0.00870254422660166
2025-09-23,25169.5,-0.0013034343973540308,24926.51005859375,,0.004891956195929901,-0.009994635428466236
2025-09-24,25056.900390625,-0.00447365300760838,24943.7525390625,,0.004373293085454723,-0.014423575905230135
2025-09-25,24890.849609375,-0.006626948212322681,24963.25,,0.004176503336644387,-0.02095493982699237
2025-09-26,24654.69921875,-0.009487437927231501,24974.64248046875,,0.004704572308632998,-0.030243569063346465
2025-09-29,24634.900390625,-0.0008030448049409777,24975.1349609375,,0.004351809859546273,-0.03102232692726825
2025-09-30,24611.099609375,-0.0009661407544825362,24976.7099609375,,0.0043362835220312635,-0.03195849574740739
2025-10-01,24836.30078125,0.009150390492475902,24982.7724609375,,0.004642094507281967,-0.023100537970572543
2025-10-03,24894.25,0.0023332467769816567,24990.769921875,,0.004664286226300222,-0.020821190449357152
2025-10-06,25077.650390625,0.007367178791287232,25007.60244140625,,0.004922120622762006,-0.013607405090757863
2025-10-07,25108.30078125,0.0012222193924698033,25024.3599609375,,0.004921645350368777,-0.012401816932671172
2025-10-08,25046.150390625,-0.0024752925801897474,25033.2375,,0.004910575942072017,-0.014846411387426595
2025-10-09,25181.80078125,0.005416017571936882,25043.67255859375,,0.004967641753664248,-0.009510802240444205
2025-10-10,25285.349609375,0.0041120501676790155,25057.6650390625,,0.005033009470182028,-0.005437860968712682
2025-10-13,25227.349609375,-0.0022938183927065925,25063.33251953125,,0.004989835259933643,-0.00771920589591224
2025-10-14,25145.5,-0.003244479132464395,25067.14755859375,,0.0050314835326747374,-0.010938640225928165
2025-10-15,25323.55078125,0.007080820872521931,25071.3701171875,,0.005052895773927054,-0.003935273905434911
2025-10-16,25585.30078125,0.010336228211479837,25084.12265625,24908.524140625,0.0054974993437971985,0.0
2025-10-17,25709.849609375,0.004867983737610659,25098.43515625,24929.7301171875,0.005539590801290093,0.0
2025-10-20,25843.150390625,0.005184813729964155,25124.24013671875,24955.109140625,0.005530580835176881,0.0
2025-10-21,25868.599609375,0.0009847568259027106,25157.55263671875,24980.558125,0.005351069617397776,0.0
2025-10-23,25891.400390625,0.0008814076368377499,25193.64765625,25011.1201171875,0.0053169060290653046,0.0
2025-10-24,25795.150390625,-0.0037174505259611745,25230.56015625,25035.322109375,0.005275251997661089,-0.0037174505259611745
2025-10-27,25966.05078125,0.006625291500029773,25284.32021484375,25064.8951171875,0.005031874500233,0.0
2025-10-28,25936.19921875,-0.001149638146805021,25348.39521484375,25091.232109375,0.004312843339894574,-0.001149638146805021
2025-10-29,26053.900390625,0.0045381040946781415,25419.34521484375,25119.6841015625,0.004259612680815153,0.0
2025-10-30,25877.849609375,-0.0067571756478100875,25482.68271484375,25139.702109375,0.004703680543577309,-0.0067571756478100875
2025-10-31,25722.099609375,-0.006018660837397216,25526.97265625,25154.53109375,0.004800790996376133,-0.012735167336764386
2025-11-03,25763.349609375,0.0016036793506921665,25570.42763671875,25168.7870703125,0.004799014863379106,-0.011151911110957813
2025-11-04,25597.650390625,-0.006431586779760301,25596.42763671875,25179.065078125,0.004935607049363506,-0.01751177340664789
2025-11-06,25509.69921875,-0.0034359080045569534,25616.49755859375,25191.8570703125,0.005035367471024481,-0.020887512568782962
2025-11-07,25492.30078125,-0.0006820322478444663,25638.805078125,25202.3480859375,0.004989633786359173,-0.021555298859478267
2025-11-10,25574.349609375,0.0032185728871263475,25658.43251953125,25219.5940625,0.004908373633580328,-0.018406103272834984
2025-11-11,25694.94921875,0.0047156471705849246,25678.9125,25243.4750390625,0.004931706398833279,-0.013777252791070116
2025-11-12,25875.80078125,0.0070384090258497345,25711.33505859375,25272.4540625,0.005061819197970651,-0.006835813705616478
2025-11-13,25879.150390625,0.00012944949620363744,25748.017578125,25297.5360546875,0.004958187583962836,-0.006707249102053114
2025-11-14,25910.05078125,0.001194026471448284,25777.342578125,25324.145078125,0.004777816078222251,-0.005521231263583171
2025-11-17,26013.44921875,0.0039906690408659795,25798.75,25350.113046875,0.0043253975225597905,-0.0015525956293882537
2025-11-18,25910.05078125,-0.003974806902018679,25808.76005859375,25373.628046875,0.004343796591340644,-0.005521231263583171
2025-11-19,26052.650390625,0.005503640675154298,25819.23505859375,25399.8610546875,0.004362836000557676,-4.797746138807124e-05
2025-11-20,26192.150390625,0.005354541588221684,25835.41259765625,25428.2410546875,0.004500240772010396,0.0
2025-11-21,26068.150390625,-0.0047342428227803435,25844.25009765625,25452.2320703125,0.004656297340608808,-0.0047342428227803435
2025-11-24,25959.5,-0.004167936312968079,25852.467578125,25471.960078125,0.004678050177312416,-0.008882447113172987
2025-11-25,25884.80078125,-0.002877529180069005,25848.405078125,25489.54609375,0.0044833218079718806,-0.011734416792483326
2025-11-26,26205.30078125,0.012381783530362567,25861.86015625,25511.372109375,0.005275151466498544,0.0
2025-11-27,26215.55078125,0.0003911422381892571,25869.94267578125,25534.299140625,0.005190107220599597,0.0
2025-11-28,26202.94921875,-0.0004806903583736144,25886.19765625,25553.5761328125,0.004922375660270078,-0.0004806903583736144
2025-12-01,26175.75,-0.0010380212747401751,25908.88017578125,25570.4861328125,0.004688419501164907,-0.00151821266629526
2025-12-02,26032.19921875,-0.005484113396941881,25922.32265625,25582.658125,0.00489457643432271,-0.006994000012814472
2025-12-03,25986.0,-0.0017746951904364927,25941.74013671875,25595.837109375,0.004650631869511772,-0.008756282985066255
2025-12-04,26033.75,0.0018375278996383138,25967.94267578125,25612.4651171875,0.0045483849938095545,-0.006934844999710199
2025-12-05,26186.44921875,0.005865433091659877,26002.65009765625,25632.8041015625,0.004653315821372156,-0.001110087777397184
2025-12-08,25960.55078125,-0.00862653945989178,26021.96015625,25650.877109375,0.005132677811727123,-0.009727051021273359
2025-12-09,25839.650390625,-0.004657081109092687,26029.19521484375,25669.853125,0.005180375035907915,-0.014338832464807605
2025-12-10,25758.0,-0.0031598875909956137,26023.30517578125,25691.919140625,0.004979548892903203,-0.017453410957028237
2025-12-11,25898.55078125,0.0054565875164998,26024.2751953125,25717.1921484375,0.005138943853833896,-0.012092059504877017
2025-12-12,26046.94921875,0.005729990019651465,26031.1201171875,25745.909140625,0.005289965492870291,-0.006431356865505444
2025-12-15,26027.30078125,-0.0007543469807149705,26031.8126953125,25769.729140625,0.005220584446031854,-0.007180852371587054
2025-12-16,25860.099609375,-0.006424068837574293,26029.31513671875,25789.0461328125,0.005346906830255639,-0.013558790919213748
2025-12-17,25818.55078125,-0.001606677033445636,26017.61015625,25803.864140625,0.005189985850623001,-0.015143683354688298
2025-12-18,25815.55078125,-0.00011619552256891819,25998.78017578125,25818.009140625,0.005009632059778331,-0.015258119249056179
2025-12-19,25966.400390625,0.005843362036054733,25993.69267578125,25836.414140625,0.0051197832879115775,-0.009503915927762896
2025-12-22,26172.400390625,0.00793332910611566,26004.3376953125,25856.2261328125,0.005334627959193541,-0.0016459845144990437
2025-12-23,26177.150390625,0.00018148889399149937,26018.95517578125,25874.0621484375,0.005278606964483972,-0.0014647943484165094
2025-12-24,26142.099609375,-0.0013389838361685946,26015.7951171875,25892.3571484375,0.004497122281428336,-0.002801816848629124
2025-12-26,26042.30078125,-0.0038175521330050532,26007.1326171875,25910.2931640625,0.004570257202870393,-0.006608672899747425
2025-12-29,25942.099609375,-0.003847631310177624,25994.09013671875,25922.664140625,0.004637937558418928,-0.010430876473157213
2025-12-30,25938.849609375,-0.00012527898855285713,25982.2451171875,25929.7351171875,0.004636750760029136,-0.010554848692055807
2025-12-31,26129.599609375,0.0073538342244390265,25987.11513671875,25938.1301171875,0.004788469546939358,-0.003278633075162185
2026-01-01,26146.55078125,0.0006487344669803274,25995.14267578125,25944.198125,0.004766545399530136,-0.00263202557046216
2026-01-02,26328.55078125,0.006960765170238581,26009.88271484375,25953.3971484375,0.0049851142201906284,0.0
2026-01-05,26250.30078125,-0.0029720587604740167,26013.07529296875,25960.57515625,0.0048821002687226105,-0.0029720587604740167
2026-01-06,26178.69921875,-0.0027276473171363724,26023.98271484375,25968.2461328125,0.004487268697546493,-0.005691599349506027
2026-01-07,26140.75,-0.001449622016468255,26039.0376953125,25971.7401171875,0.004351217815143022,-0.007132970698248364
