Fast MA,Slow MA,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Completed Trades,Position Changes,Market Exposure,Cumulative Cost Drag,Final Portfolio Value
5,50,0.0772447314658633,0.10579409791305211,0.7762467873754254,-0.2176551208924674,36,73,0.6320089119940586,0.0365,2.265303501799901
10,50,0.07571904050275391,0.10880461828132384,0.7443668132054011,-0.2465394495301092,27,55,0.6360935759376161,0.0275,2.230293217793378
20,50,0.07409911542163616,0.11173201445094896,0.7138792135330551,-0.28947134102319183,24,49,0.6476049015967322,0.0245,2.1936595014056355
20,30,0.06961210684026731,0.10897205492081809,0.6896425981981069,-0.1683149159377989,47,95,0.6134422577051615,0.0475,2.095025654421478
15,50,0.0644801058219151,0.11179763775385015,0.6307657283638398,-0.2950717867538142,26,53,0.6457482361678426,0.0265,1.9871672562927507
10,150,0.060189911321942624,0.10692902117871184,0.6156480900587287,-0.21698462690730425,17,35,0.6249535833642778,0.0175,1.9009019955531559
30,50,0.06086300800977029,0.11397638938629175,0.5901721249024203,-0.3405473372326374,25,51,0.6487189008540661,0.025500000000000002,1.9142071006157062
5,100,0.058344554885456645,0.10917339444828711,0.5888242748557164,-0.2503343159750401,27,55,0.6483475677682882,0.027500000000000004,1.8648548407734657
10,30,0.05527958104081043,0.10791036781087164,0.5668077062514918,-0.28259325755491793,51,103,0.6089862606758262,0.051500000000000004,1.8063544400785259
20,100,0.05514890139416351,0.10942000147994063,0.5593624725072258,-0.25388392461563614,15,31,0.6349795766802823,0.015500000000000002,1.803897684667241
10,100,0.05299030902520352,0.10975614677262081,0.5387632969358042,-0.33999630363669064,21,43,0.6472335685109544,0.021500000000000002,1.763753494441776
10,20,0.052353310994924795,0.10878623073249574,0.5368466570487439,-0.19312531615903694,76,153,0.5930189379873747,0.07650000000000001,1.7520631616004438
50,100,0.051651988636606694,0.11317569836277974,0.5143608681242144,-0.20664767339024903,13,27,0.6197549201633865,0.013500000000000002,1.7392738301691173
15,100,0.0503387840203664,0.11071384899975446,0.5116621176297537,-0.2864788576925946,15,31,0.6412922391385072,0.015500000000000002,1.715554173270032
30,100,0.04727088175197203,0.10968798465400947,0.4879967414038419,-0.2634115861361851,15,31,0.6223542517638322,0.015500000000000002,1.6612820394721632
5,30,0.04386074539012719,0.10571425036625806,0.4705288437923305,-0.24244382848751578,67,135,0.6075009283327144,0.0675,1.6027907433813566
40,50,0.04643231406143311,0.11362288156980802,0.467667845497983,-0.33804018713470807,32,65,0.6368362421091719,0.0325,1.6467216378247627
5,150,0.040541713093712906,0.10776016320198191,0.43317297111104786,-0.252841570079563,23,47,0.6282955811362793,0.0235,1.5476659967946316
15,20,0.03933554172713971,0.10943807208561097,0.4174103059775285,-0.27724865535575005,85,171,0.5919049387300408,0.08549999999999999,1.5280639768776183
15,150,0.037355425681717236,0.10742406134179576,0.40485606071450264,-0.28208011045033876,13,27,0.6204975863349425,0.013500000000000002,1.4963730677630147
40,100,0.037975210038810214,0.11044196795471117,0.40238518823433667,-0.23542551513984622,14,29,0.623096917935388,0.0145,1.5062276107697588
15,30,0.03704949826921822,0.10936463240379478,0.3968426542523727,-0.3297399187512352,46,93,0.6141849238767174,0.0465,1.4915304722184664
5,20,0.03435477267398657,0.10694586059428453,0.37834316908238974,-0.2918416645990006,92,185,0.5948756034162644,0.0925,1.4494863787010308
30,150,0.028314831187296496,0.1121220584391395,0.31237954786954936,-0.321170585840575,11,23,0.604158930560713,0.0115,1.3591350037026468
15,200,0.02594893692785405,0.1117492497326697,0.2917302066058947,-0.29314206632200823,18,37,0.6409209060527293,0.018500000000000003,1.3251620085059208
50,150,0.023529006814533293,0.11681842578441157,0.2635091428105407,-0.42851846324333664,9,19,0.6049015967322688,0.009500000000000001,1.291213351677328
20,150,0.02227653046938949,0.10910634547457222,0.2622902999491608,-0.36243925904599705,14,29,0.6190122539918307,0.0145,1.273954905818832
20,200,0.022691803551335266,0.1120716292230069,0.26206902560804934,-0.30890079956753536,15,31,0.6346082435945043,0.0155,1.2796537655357645
30,200,0.022998082830803845,0.11489885598041742,0.26124476875150193,-0.3440935982754485,11,23,0.6256962495358337,0.0115,1.2838717231713226
40,150,0.021169987702319037,0.11509651542117927,0.24506568194625394,-0.3837523788302787,10,21,0.6023022651318233,0.010499999999999999,1.2588820956574567
5,200,0.02038028875736142,0.10958750690853547,0.24415990700529658,-0.26487083231494435,30,61,0.6479762346825102,0.030500000000000003,1.2482245100805933
10,200,0.016292219963374377,0.10921654324512382,0.20681988306621726,-0.3187431432191772,19,39,0.6438915707389529,0.0195,1.1943525762541447
50,200,0.014215240990202105,0.11901811273915058,0.18184511406454046,-0.4203741756534656,8,17,0.6201262532491645,0.0085,1.1678001333802404
40,200,0.008648625282406508,0.11836298801440301,0.13438868258555675,-0.3889559752785452,9,19,0.62272558484961,0.0095,1.0992602226736454
