Training Start,Training End,Test Year,Selected Fast MA,Selected Slow MA,Training Sharpe,Test CAGR,Test Volatility,Test Sharpe,Test Maximum Drawdown,Test Trades,Test Exposure,Test Cost Drag
2010-01-01,2014-12-31,2015,50,100,0.6082518218420467,-0.08798361188419634,0.13146298493891767,-0.5466139849330771,-0.1819070057289408,1,0.4426229508196721,0.0015
2011-01-01,2015-12-31,2016,50,150,0.5431395875245288,0.03910004695233771,0.10182143470416684,0.4352905668243782,-0.11431442639974931,1,0.5778688524590164,0.001
2012-01-01,2016-12-31,2017,40,150,0.7698457822634749,0.183915715284944,0.08271393677249175,2.0917524101508933,-0.0411056352672472,0,0.8548387096774194,0.0005
2013-01-01,2017-12-31,2018,30,150,1.1290829360388979,-0.06583780959393892,0.108699298521932,-0.6659588299317296,-0.13559655793436132,1,0.7346938775510204,0.0015
2014-01-01,2018-12-31,2019,5,50,1.0571395338835696,0.023976235563848647,0.09374398649760922,0.2371601183486602,-0.1017661861430742,4,0.7053941908713693,0.004
2015-01-01,2019-12-31,2020,5,50,0.7555515550868663,0.3905232267346923,0.12964054006072742,2.637023704659286,-0.07275770184508601,2,0.672,0.002
2016-01-01,2020-12-31,2021,20,50,1.746721382840763,0.23129950479801042,0.1312414856206087,1.6916594362545954,-0.06897379751487231,1,0.7782258064516129,0.0015
2017-01-01,2021-12-31,2022,20,50,1.6915498664871877,-0.11557200453816818,0.11977087404532798,-0.9698625250691366,-0.16040266398323844,3,0.5443548387096774,0.0035
2018-01-01,2022-12-31,2023,20,50,1.1975121098308918,0.10372271326855165,0.07084056861652409,1.5255078197161438,-0.08016086934509237,3,0.5591836734693878,0.003
2019-01-01,2023-12-31,2024,5,50,1.3420512796957438,0.07032359159006907,0.12945267118372925,0.6062405114604915,-0.08836944527914548,2,0.7804878048780488,0.0025
2020-01-01,2024-12-31,2025,5,50,1.3636747062254773,-0.008720495620095359,0.08727137269411062,-0.05784104760904632,-0.06420148760369637,3,0.5943775100401606,0.0035
2021-01-01,2025-12-31,2026,50,100,0.9222274818806044,-0.0014579974592843215,0.0675986103742398,0.027963338327105604,-0.04861264113087804,1,0.3103448275862069,0.001
