Date,Close,Market Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Test Year,Selected Fast MA,Selected Slow MA,Combined OOS Growth
2015-01-02,8395.4501953125,0.013612710510011006,8298.070068359375,8107.196528320313,1,1.0,0.0,0.0,0.013612710510011006,1.013612710510011,2015,50,100,1.013612710510011
2015-01-05,8378.400390625,-0.0020308386436523884,8310.044072265626,8113.767534179688,1,1.0,0.0,0.0,-0.0020308386436523884,1.0115542266478101,2015,50,100,1.0115542266478101
2015-01-06,8127.35009765625,-0.029963988501869876,8315.003076171875,8119.015034179687,1,1.0,0.0,0.0,-0.029963988501869876,0.9812440274315173,2015,50,100,0.9812440274315173
2015-01-07,8102.10009765625,-0.0031067936900222026,8318.490078125,8123.199536132813,1,1.0,0.0,0.0,-0.0031067936900222026,0.9781955046787211,2015,50,100,0.9781955046787211
2015-01-08,8234.599609375,0.016353724358093125,8323.264072265625,8128.080034179688,1,1.0,0.0,0.0,0.016353724358093125,0.9941926443305626,2015,50,100,0.9941926443305626
2015-01-09,8284.5,0.006059844193054609,8329.120068359374,8134.204536132813,1,1.0,0.0,0.0,0.006059844193054609,1.000217296853087,2015,50,100,1.000217296853087
2015-01-12,8323.0,0.004647232784114941,8335.02806640625,8140.942036132812,1,1.0,0.0,0.0,0.004647232784114941,1.0048655394662613,2015,50,100,1.0048655394662613
2015-01-13,8299.400390625,-0.002835469106692301,8339.2070703125,8148.250541992187,1,1.0,0.0,0.0,-0.002835469106692301,1.002016274272725,2015,50,100,1.002016274272725
2015-01-14,8277.5498046875,-0.0026327909136885097,8341.3740625,8154.766538085937,1,1.0,0.0,0.0,-0.0026327909136885097,0.9993781749304518,2015,50,100,0.9993781749304518
2015-01-15,8494.150390625,0.026167234392820093,8344.81306640625,8162.437543945312,1,1.0,0.0,0.0,0.026167234392820093,1.0255291378809257,2015,50,100,1.0255291378809257
2015-01-16,8513.7998046875,0.0023132877520259942,8348.6060546875,8170.180043945313,1,1.0,0.0,0.0,0.0023132877520259942,1.0279014818749315,2015,50,100,1.0279014818749315
2015-01-19,8550.7001953125,0.004334185847861161,8352.8540625,8177.770043945313,1,1.0,0.0,0.0,0.004334185847861161,1.0323565979306693,2015,50,100,1.0323565979306693
2015-01-20,8695.599609375,0.016945912118627948,8360.0260546875,8185.983540039062,1,1.0,0.0,0.0,0.016945912118627948,1.0498508221142882,2015,50,100,1.0498508221142882
2015-01-21,8729.5,0.0038985684884169647,8367.7310546875,8194.303540039062,1,1.0,0.0,0.0,0.0038985684884169647,1.0539437374469216,2015,50,100,1.0539437374469216
2015-01-22,8761.400390625,0.0036543204794088346,8375.7060546875,8203.164545898437,1,1.0,0.0,0.0,0.0036543204794088346,1.0577951856308185,2015,50,100,1.0577951856308185
2015-01-23,8835.599609375,0.008468876599840858,8384.75205078125,8212.609541015625,1,1.0,0.0,0.0,0.008468876599840858,1.0667535225258318,2015,50,100,1.0667535225258318
2015-01-27,8910.5,0.00847711461998868,8395.80505859375,8222.5825390625,1,1.0,0.0,0.0,0.00847711461998868,1.0757965144075599,2015,50,100,1.0757965144075599
2015-01-28,8914.2998046875,0.0004264412420740271,8406.293046875,8232.6625390625,1,1.0,0.0,0.0,0.0004264412420740271,1.0762552784093826,2015,50,100,1.0762552784093826
2015-01-29,8952.349609375,0.0042684008302582566,8416.7250390625,8243.13853515625,1,1.0,0.0,0.0,0.0042684008302582566,1.0808491673333152,2015,50,100,1.0808491673333152
2015-01-30,8808.900390625,-0.01602363904552817,8424.3850390625,8251.867041015625,1,1.0,0.0,0.0,-0.01602363904552817,1.0635300304133064,2015,50,100,1.0635300304133064
2015-02-02,8797.400390625,-0.0013054977908750764,8432.68705078125,8260.297543945313,1,1.0,0.0,0.0,-0.0013054977908750764,1.0621415943080725,2015,50,100,1.0621415943080725
2015-02-03,8756.5498046875,-0.004643483770618517,8439.7800390625,8267.586040039063,1,1.0,0.0,0.0,-0.004643483770618517,1.0572095570528042,2015,50,100,1.0572095570528042
2015-02-04,8723.7001953125,-0.003751432939651078,8444.70705078125,8273.992543945313,1,1.0,0.0,0.0,-0.003751432939651078,1.0532435062963623,2015,50,100,1.0532435062963623
2015-02-05,8711.7001953125,-0.0013755630903555804,8448.338046875,8279.963544921875,1,1.0,0.0,0.0,-0.0013755630903555804,1.0517947034039443,2015,50,100,1.0517947034039443
